,ac4C
541,LOC_Os02g39720.3.MSUv7.0
542,LOC_Os01g22380.1.MSUv7.0
543,LOC_Os09g38020.1.MSUv7.0
544,LOC_Os09g28850.1.MSUv7.0
545,LOC_Os03g49490.1.MSUv7.0
546,LOC_Os01g60740.1.MSUv7.0
547,LOC_Os04g58280.1.MSUv7.0
548,LOC_Os03g24600.1.MSUv7.0
549,LOC_Os05g33100.1.MSUv7.0
550,LOC_Os05g11710.1.MSUv7.0
551,LOC_Os05g19370.1.MSUv7.0
552,LOC_Os03g58204.2.MSUv7.0
553,LOC_Os07g04180.2.MSUv7.0
554,LOC_Os09g02214.2.MSUv7.0
555,LOC_Os02g33550.1.MSUv7.0
556,LOC_Os01g25560.1.MSUv7.0
557,LOC_Os08g37280.2.MSUv7.0
558,LOC_Os01g48420.1.MSUv7.0
559,LOC_Os03g51470.1.MSUv7.0
560,LOC_Os03g11340.1.MSUv7.0
561,LOC_Os08g39890.1.MSUv7.0
562,LOC_Os03g58204.1.MSUv7.0
563,LOC_Os10g27174.1.MSUv7.0
564,LOC_Os06g50870.1.MSUv7.0
565,LOC_Os08g37490.1.MSUv7.0
566,LOC_Os02g29550.2.MSUv7.0
567,LOC_Os01g02150.1.MSUv7.0
568,LOC_Os12g28015.1.MSUv7.0
569,LOC_Os04g42270.2.MSUv7.0
570,LOC_Os11g42550.1.MSUv7.0
571,LOC_Os07g42440.2.MSUv7.0
572,LOC_Os03g48626.2.MSUv7.0
573,LOC_Os04g37690.1.MSUv7.0
574,LOC_Os03g14980.1.MSUv7.0
575,LOC_Os08g25590.2.MSUv7.0
576,LOC_Os03g02460.1.MSUv7.0
577,LOC_Os08g03520.1.MSUv7.0
578,LOC_Os04g48840.1.MSUv7.0
579,LOC_Os06g24711.1.MSUv7.0
580,LOC_Os02g44940.1.MSUv7.0
581,LOC_Os01g51120.2.MSUv7.0
582,LOC_Os01g05610.1.MSUv7.0
583,LOC_Os03g55400.1.MSUv7.0
584,LOC_Os02g27960.1.MSUv7.0
585,LOC_Os08g14860.1.MSUv7.0
586,LOC_Os06g01700.1.MSUv7.0
587,LOC_Os08g44380.1.MSUv7.0
588,LOC_Os04g33560.1.MSUv7.0
589,LOC_Os01g03340.1.MSUv7.0
590,LOC_Os05g46460.3.MSUv7.0
591,LOC_Os03g21380.2.MSUv7.0
592,LOC_Os11g47760.1.MSUv7.0
593,LOC_Os04g52180.2.MSUv7.0
594,LOC_Os06g44910.1.MSUv7.0
595,LOC_Os08g06530.1.MSUv7.0
596,LOC_Os11g18770.2.MSUv7.0
597,LOC_Os03g17070.1.MSUv7.0
598,LOC_Os03g37970.1.MSUv7.0
599,LOC_Os02g48610.2.MSUv7.0
600,LOC_Os06g49490.1.MSUv7.0
601,LOC_Os03g58050.1.MSUv7.0
602,LOC_Os07g47990.1.MSUv7.0
603,LOC_Os01g04300.1.MSUv7.0
604,LOC_Os05g12680.1.MSUv7.0
605,LOC_Os08g37320.1.MSUv7.0
606,LOC_Os03g07880.3.MSUv7.0
